date,rain,temp,rhum,wdsp,sun,vis
1/1/2017 0:00,0.9,5.3,91,12,0,25000
1/1/2017 1:00,0.2,4.9,95,8,0,25000
1/1/2017 2:00,0.1,5,92,8,0,30000
1/1/2017 3:00,0,4.2,90,12,0,30000
1/1/2017 4:00,0,3.6,88,11,0,30000
1/1/2017 5:00,0,2.8,89,12,0,30000
1/1/2017 6:00,0,1.7,91,13,0,30000
1/1/2017 7:00,0,1.6,91,13,0,35000
1/1/2017 8:00,0,2,89,13,0,35000
1/1/2017 9:00,0,2.6,84,13,0,35000
1/1/2017 10:00,0,3,84,11,0.1,35000
1/1/2017 11:00,0,3.6,80,12,0.3,35000
1/1/2017 12:00,0,4.4,76,13,0.8,35000
1/1/2017 13:00,0,4.9,75,16,1,35000
1/1/2017 14:00,0,5.1,73,14,0.5,40000
1/1/2017 15:00,0,4.9,72,15,0.4,40000
1/1/2017 16:00,0,4.7,78,12,0.1,40000
1/1/2017 17:00,0,4.5,77,12,0,30000
1/1/2017 18:00,0,3.9,80,11,0,30000
1/1/2017 19:00,0,4.3,77,11,0,30000
1/1/2017 20:00,0,4.1,80,10,0,30000
1/1/2017 21:00,0.1,4.7,74,15,0,30000
1/1/2017 22:00,0,5.2,76,14,0,30000
1/1/2017 23:00,0,5.1,78,16,0,25000
2/1/2017 0:00,0,5.1,76,15,0,25000
2/1/2017 1:00,0,4.7,76,14,0,30000
2/1/2017 2:00,0,4.6,76,12,0,30000
2/1/2017 3:00,0,3.6,78,10,0,30000
2/1/2017 4:00,0,3.3,74,8,0,30000
2/1/2017 5:00,0,1.6,81,8,0,30000
2/1/2017 6:00,0,-0.2,86,6,0,30000
2/1/2017 7:00,0,0.4,82,8,0,30000
2/1/2017 8:00,0,-0.6,85,8,0,40000
2/1/2017 9:00,0,-1.5,87,7,0.2,40000
2/1/2017 10:00,0,0.4,82,8,1,40000
2/1/2017 11:00,0,1.7,78,8,1,40000
2/1/2017 12:00,0,3,76,8,1,40000
2/1/2017 13:00,0,3.9,77,9,1,40000
2/1/2017 14:00,0,4.2,77,8,0.9,40000
2/1/2017 15:00,0,3.9,78,9,1,40000
2/1/2017 16:00,0,2.2,84,6,0.3,40000
2/1/2017 17:00,0,1.4,89,8,0,40000
2/1/2017 18:00,0,1.2,89,8,0,40000
2/1/2017 19:00,0,0.8,90,8,0,40000
2/1/2017 20:00,0,0.2,92,9,0,40000
2/1/2017 21:00,0,0.2,90,9,0,40000
2/1/2017 22:00,0,0.8,90,8,0,40000
2/1/2017 23:00,0,0.6,90,10,0,40000
3/1/2017 0:00,0,0.5,90,9,0,35000
3/1/2017 1:00,0,0,94,9,0,30000
3/1/2017 2:00,0,-0.6,96,9,0,30000
3/1/2017 3:00,0,-0.8,96,9,0,30000
3/1/2017 4:00,0,-0.9,96,9,0,25000
3/1/2017 5:00,0,0.2,96,9,0,18000
3/1/2017 6:00,0,0.3,96,9,0,20000
3/1/2017 7:00,0,0.7,94,9,0,25000
3/1/2017 8:00,0,1.2,92,11,0,25000
3/1/2017 9:00,0,2,91,12,0,17000
3/1/2017 10:00,0,2.9,88,10,0,20000
3/1/2017 11:00,0,3.3,86,11,0,30000
3/1/2017 12:00,0,3.8,85,12,0,30000
3/1/2017 13:00,0,4.3,82,14,0,30000
3/1/2017 14:00,0,4.6,82,15,0,30000
3/1/2017 15:00,0,4.9,81,14,0,30000
3/1/2017 16:00,0,4.8,81,15,0,30000
3/1/2017 17:00,0,4.9,81,15,0,30000
3/1/2017 18:00,0,4.8,84,14,0,30000
3/1/2017 19:00,0,4.9,86,14,0,30000
3/1/2017 20:00,0,4.5,92,13,0,30000
3/1/2017 21:00,0,4.8,92,14,0,30000
3/1/2017 22:00,0,4.7,92,12,0,25000
3/1/2017 23:00,0,4.6,93,11,0,25000
4/1/2017 0:00,0,4.7,95,10,0,25000
4/1/2017 1:00,0,4.7,95,11,0,25000
4/1/2017 2:00,0,4.6,95,12,0,25000
4/1/2017 3:00,0,4.9,92,13,0,25000
4/1/2017 4:00,0,5.1,92,11,0,25000
4/1/2017 5:00,0,4.6,93,11,0,25000
4/1/2017 6:00,0,4.1,97,10,0,25000
4/1/2017 7:00,0,4.6,93,11,0,25000
4/1/2017 8:00,0,4.9,94,11,0,18000
4/1/2017 9:00,0,4.8,95,12,0,17000
4/1/2017 10:00,0,5.1,95,12,0,14000
4/1/2017 11:00,0,5.2,98,11,0,3500
4/1/2017 12:00,0,5.6,97,10,0,3000
4/1/2017 13:00,0,6.1,95,9,0,17000
4/1/2017 14:00,0,6.1,94,7,0,18000
4/1/2017 15:00,0,5.6,95,6,0.3,8000
4/1/2017 16:00,0,3.7,95,6,0,9000
4/1/2017 17:00,0,2.4,87,5,0,16000
4/1/2017 18:00,0,1.8,87,6,0,16000
4/1/2017 19:00,0,1.4,91,5,0,16000
4/1/2017 20:00,0,0.1,92,3,0,16000
4/1/2017 21:00,0,1.1,92,3,0,20000
4/1/2017 22:00,0,1.7,93,3,0,18000
4/1/2017 23:00,0,2.2,91,4,0,17000
5/1/2017 0:00,0,2.7,89,4,0,17000
5/1/2017 1:00,0,2.9,91,3,0,20000
5/1/2017 2:00,0,2.5,93,2,0,20000
5/1/2017 3:00,0,2.4,86,5,0,20000
5/1/2017 4:00,0,3.6,83,5,0,20000
5/1/2017 5:00,0,3.5,86,4,0,20000
5/1/2017 6:00,0,4.4,80,4,0,20000
5/1/2017 7:00,0,3.9,80,5,0,20000
5/1/2017 8:00,0,3.3,81,5,0,20000
5/1/2017 9:00,0,4.4,82,6,0,30000
5/1/2017 10:00,0,3.7,90,5,0,30000
5/1/2017 11:00,0,5.7,82,5,0.1,30000
5/1/2017 12:00,0,6.5,73,4,0,30000
5/1/2017 13:00,0,6.7,79,6,0,30000
5/1/2017 14:00,0,7.1,78,7,0,30000
5/1/2017 15:00,0,7.2,80,12,0,30000
5/1/2017 16:00,0,7.1,84,11,0,30000
5/1/2017 17:00,0,6.9,85,8,0,30000
5/1/2017 18:00,0,6.9,84,7,0,30000
5/1/2017 19:00,0,6.5,85,5,0,30000
5/1/2017 20:00,0,6.3,86,3,0,25000
5/1/2017 21:00,0,4.6,87,1,0,25000
5/1/2017 22:00,0,4.4,90,3,0,25000
5/1/2017 23:00,0,5.2,92,1,0,25000
6/1/2017 0:00,0,6.7,91,3,0,8000
6/1/2017 1:00,0.1,7.1,93,4,0,18000
6/1/2017 2:00,0,7.9,84,4,0,20000
